day_of_week,weekday_name,hour,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
3,Tue,0,148969,5387459.349999998,3854730.6599999988,828206.3700000002,2439615.566666667,187385,110421,25564,106,239,36.16496955742468,25.876059180097865,5.559588706375154,16.376666062514126,1.2578791560660272,0.741234753539327,0.17160617309641604
3,Tue,1,65769,2317462.6700000004,1691998.9500000007,392208.9099999999,1023810.5500000005,84189,46793,13469,105,236,35.23639815110463,25.726390092596827,5.96343125180556,15.56676473718622,1.2800711581444146,0.7114750110234305,0.20479253143578283
3,Tue,2,32768,1039675.5400000003,757234.8300000001,190330.13999999993,476419.7499999999,41932,21992,7699,105,215,31.72837951660157,23.108973083496096,5.808414916992185,14.539176940917965,1.2796630859375,0.671142578125,0.234954833984375
3,Tue,3,21256,741782.28,544914.7900000002,112992.54,318643.01666666666,26761,13226,5292,106,219,34.89754798645089,25.635810594655634,5.3157950696273994,14.990732812696024,1.2589856981558147,0.6222243131351148,0.2489649981181784
3,Tue,4,28585,1173155.7900000005,873419.6,892768.79,503027.2666666667,31196,17233,6012,105,226,41.04095819485746,30.555172293160748,31.23207241560259,17.597595475482482,1.0913416127339515,0.6028686373972363,0.2103200979534721
3,Tue,5,68500,2481688.460000002,1811658.0400000005,1169007.04,1150444.6666666663,74298,47235,12204,105,238,36.229028613138716,26.447562627737234,17.065796204379563,16.79481265206812,1.0846423357664234,0.6895620437956205,0.17816058394160583
3,Tue,6,184236,5401550.300000001,3938339.270000003,1767927.3399999992,3052204.9000000004,198690,135701,27891,105,244,29.318647278490637,21.376599958748578,9.595992856987772,16.566821359560567,1.078453722399531,0.7365607156038994,0.15138735100631798
3,Tue,7,393964,1.0318657109999986E7,7303407.19,2987753.9399999995,6430710.266666666,435102,304639,48734,106,246,26.191878217299006,18.53826032327827,7.583824765714633,16.3230911115398,1.1044207084911313,0.7732660852260612,0.12370165801951448
3,Tue,8,543613,1.4240001009999985E7,1.0057453299999997E7,3367197.460000002,9561526.016666671,602048,424444,62816,105,246,26.195107567331878,18.50112727252659,6.194107683223178,17.588847243658027,1.107493750149463,0.7807833881824018,0.11555279215176974
3,Tue,9,557615,1.5048421439999966E7,1.0573003459999999E7,2546767.8800000004,1.0098463833333334E7,649978,438355,82690,106,246,26.987117347990935,18.961117365924515,4.567251383122764,18.110100756495672,1.1656393748374774,0.7861248352357809,0.14829228051612672
3,Tue,10,549946,1.5426693879999978E7,1.0898842699999996E7,2247449.8800000004,1.0326616683333332E7,675519,428128,97740,105,245,28.051288453775424,19.818023405934394,4.086673746149622,18.77751030707257,1.2283369639928283,0.7784909791143131,0.1777265404239689
3,Tue,11,571604,1.5989622949999971E7,1.1305388879999997E7,1823154.2599999995,1.09490679E7,713721,442301,105688,106,246,27.973252374021126,19.778358583914734,3.189540765984842,19.154988243609214,1.24862842107473,0.773789196716608,0.18489723654837964
3,Tue,12,608115,1.714087187999996E7,1.2133126379999997E7,2059842.29,1.1687914783333333E7,763570,468141,114524,105,244,28.186892084556312,19.952026146370336,3.3872578213002473,19.21990870696058,1.2556342139233534,0.7698231420043906,0.18832622119171538
3,Tue,13,623245,1.7970844569999963E7,1.2734928099999994E7,2515474.1199999987,1.2081579083333332E7,788317,478704,118062,106,248,28.834318077160606,20.433261558456135,4.0360919381623575,19.384959499608232,1.2648589238581938,0.7680831775625958,0.18943112259223902
3,Tue,14,682325,2.0234982059999973E7,1.4372789310000002E7,2519860.1700000004,1.3833756700000003E7,869393,525685,126177,105,248,29.65592944711094,21.064433092734404,3.6930497490198957,20.274439160224237,1.274162605796358,0.7704319788956875,0.18492214120836845
3,Tue,15,703052,2.0722851959999982E7,1.4726136249999996E7,2805385.440000001,1.4520945650000006E7,900089,543778,124825,105,253,29.475560783555103,20.946012883826512,3.990295796043537,20.654155951480128,1.2802594971637944,0.7734534572122688,0.17754732224643413
3,Tue,16,705497,2.2720137089999963E7,1.485320071999999E7,2723242.8299999996,1.4602588333333345E7,899060,554109,114989,106,249,32.204441819029654,21.053527825065153,3.8600345997218977,20.698299685658966,1.2743640298966543,0.7854165219696185,0.16299006232485752
3,Tue,17,796341,2.4109736179999985E7,1.555118759E7,3445227.7,1.5088187683333341E7,985660,637583,108310,105,246,30.27564344922588,19.528302059042545,4.326322140891905,18.946892955823373,1.2377360954666405,0.8006406803115751,0.13600957378811337
3,Tue,18,855190,2.426558386999998E7,1.535903381E7,2850959.2800000003,1.421068601666667E7,1044203,687039,106547,105,245,28.374494404752134,17.959791169213858,3.3337144728072126,16.616992734558014,1.2210187209859797,0.8033758579964686,0.1245886878939183
3,Tue,19,728944,2.0776675719999984E7,1.3116785799999995E7,2699396.3200000008,1.1097132833333334E7,897563,594290,88138,105,242,28.502430529642858,17.994229735068807,3.703160078140434,15.223573873073013,1.231319552667969,0.815275247481288,0.12091189446651594
3,Tue,20,695855,1.9031477699999988E7,1.2731889109999994E7,2489816.1899999995,1.0276303949999997E7,853135,560694,80833,105,243,27.349775024969265,18.296755947718985,3.5780675428070494,14.767881167772018,1.226024099848388,0.8057626948142932,0.11616356855954185
3,Tue,21,725596,1.9772273059999987E7,1.333401649000001E7,2694199.309999999,1.0627323283333331E7,886130,573668,80016,105,246,27.249699640020047,18.37664001730992,3.7130845677208795,14.646336643715417,1.2212443288000485,0.7906162658008038,0.1102762418756443
3,Tue,22,608225,1.7166189959999997E7,1.1767568259999996E7,2485056.1600000006,9099203.516666666,730002,467775,67182,106,240,28.223420543384435,19.347393250852885,4.085751424226233,14.96025897762615,1.2002170249496487,0.7690821653171113,0.11045583460068231
3,Tue,23,383827,1.171805716E7,8135790.94,2025349.4800000002,5923560.100000001,466410,292543,49767,106,245,30.529528042581685,21.196505040031056,5.27672487865627,15.43289059915014,1.2151568284669916,0.7621741044793618,0.12965997702089743
4,Wed,0,188018,5974089.2299999995,4215210.170000001,874766.51,2863998.4166666674,233067,142110,29297,106,241,31.774028178153152,22.4191841738557,4.6525678924358305,15.232575693107401,1.2395994000574413,0.7558318884362135,0.1558201874288632
4,Wed,1,83814,2543145.9000000004,1808202.3100000003,362309.20999999996,1192035.8666666662,105921,61867,15490,104,235,30.342733910802497,21.573988951726445,4.322776743742095,14.222395622051998,1.2637626172238527,0.7381463717278737,0.18481399288901615
4,Wed,2,43037,1248560.3300000003,888692.0,174174.16999999998,587122.9999999999,54463,30331,8970,104,225,29.01132351232661,20.64948765016149,4.047079722099588,13.642284545855889,1.2654924832121197,0.7047656667518647,0.20842530845551502
4,Wed,3,28103,892459.41,645172.3100000002,221578.67000000004,397134.15,35027,18411,6318,104,219,31.75673095399068,22.957417713411385,7.884520157990251,14.131379212183754,1.246379390100701,0.6551257872824965,0.2248158559584386
