hour,PULocationID,pickup_zone,pickup_borough,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share,zone_rank_in_hour
12,239,Upper West Side South,Manhattan,143321,3091359.9200000004,2081612.0199999998,326442.45999999996,2000840.9833333334,181545,111791,22630,731,1,21.569483327635172,14.52412430837072,2.2777015231543176,13.96055695490077,1.2667020185457818,0.7800043259536286,0.15789730744273345,7
12,132,JFK Airport,Queens,139116,1.1452451509999992E7,8994793.25,2232045.99,6445625.716666669,209281,100986,34030,729,1,82.32303624313516,64.65678462577992,16.044495169498838,46.33274186050971,1.5043632651887633,0.7259121883895454,0.2446160039104057,8
12,142,Lincoln Square East,Manhattan,138176,2973280.4,2012780.53,371256.5299999999,1959479.1833333333,174613,107549,23648,731,1,21.51806681333951,14.566788226609543,2.6868380181797122,14.181038554693531,1.2636999189439555,0.7783479041222788,0.1711440481704493,9
12,170,Murray Hill,Manhattan,136402,3354528.6500000004,2333633.11,343034.98999999993,2284917.016666667,172773,105061,24496,731,1,24.59295794783068,17.108496283045703,2.5148824064163278,16.751345410380104,1.266645650357033,0.770230641779446,0.17958680957757217,10
13,237,Upper East Side South,Manhattan,252005,5112470.64,3413685.61,432366.08,3425699.1999999993,314378,199332,43071,731,1,20.28717938136148,13.54610269637507,1.715704370945021,13.593774726691928,1.247506993908851,0.7909843058669471,0.1709132755302474,1
13,236,Upper East Side North,Manhattan,229893,4781607.71,3212117.94,441121.5,3128151.9833333334,289178,180408,38149,731,1,20.79927492355139,13.972230298443188,1.9188122300374522,13.606991005960744,1.2578808402169706,0.7847476869674153,0.16594241668950338,2
13,161,Midtown Center,Manhattan,219677,5727763.74,3976481.4599999995,620101.49,3925559.033333334,293532,171823,40300,731,1,26.073570469370942,18.101492008721895,2.82278750165015,17.869686099743415,1.3361981454590148,0.7821619923797212,0.1834511578362778,3
13,132,JFK Airport,Queens,183637,1.5301004439999983E7,1.2007634459999999E7,2967320.6599999997,9095970.683333334,279714,133436,45068,731,1,83.32201266629265,65.38788185387476,16.158620866165315,49.53234197538259,1.5231897711245554,0.7266291651464574,0.24541895151848483,4
13,138,LaGuardia Airport,Queens,160693,1.1135759300000003E7,7277721.06,1570375.8899999997,5478249.033333333,219233,137256,20534,731,1,69.29834715886817,45.28959606205622,9.772522076257209,34.09139809035449,1.3642971380209468,0.8541504608165882,0.1277840353966881,5
13,162,Midtown East,Manhattan,153777,3969414.86,2750978.15,387399.97000000003,2694721.016666667,199346,122143,26606,731,1,25.812799443349785,17.889399259967355,2.5192321998738434,17.52356345010416,1.2963317010996442,0.7942865317960424,0.17301677103858185,6
13,186,Penn Station/Madison Sq West,Manhattan,147026,3970617.2399999998,2847467.8599999994,356832.6100000001,3096721.283333333,197926,112256,30217,731,1,27.00622502142478,19.367104185654235,2.427003455171195,21.062405855653648,1.3461972712309387,0.763511215703345,0.20552147239263804,7
13,239,Upper West Side South,Manhattan,146141,3156606.4099999997,2130223.2999999993,318184.6,2046034.8833333328,186683,112399,24049,731,1,21.599731834324384,14.576493249669834,2.177243894594946,14.00041660679298,1.2774170150744828,0.7691133904927433,0.16456025345385622,8
13,142,Lincoln Square East,Manhattan,142415,3043437.8600000003,2054612.9,501499.4299999999,2010615.55,180770,110527,24430,731,1,21.37020580697258,14.426941684513569,3.521394726679071,14.118004072604712,1.2693185408840362,0.776091001650107,0.171540919144753,9
13,163,Midtown North,Manhattan,135810,3538540.27,2463861.3200000003,384990.92,2363113.0666666664,180941,105792,24912,731,1,26.05507893380458,18.14197275605626,2.8347759369707677,17.400140392214613,1.3323098446358883,0.7789706207201237,0.18343273691186215,10
14,237,Upper East Side South,Manhattan,281673,5809179.890000001,3898813.0,482741.48,3961337.9666666673,351727,224565,46288,731,1,20.62384357038126,13.841628413088937,1.713836540953517,14.063605552064512,1.2487068338108374,0.7972542629218988,0.16433239962651727,1
14,161,Midtown Center,Manhattan,246673,6483021.939999999,4513758.86,634053.8500000001,4565794.4,328112,194308,43858,731,1,26.281846574209574,18.298552577704086,2.5704225837444716,18.509502053325658,1.3301496312932506,0.7877149100225805,0.17779813761538554,2
14,236,Upper East Side North,Manhattan,242719,5060387.66,3404808.13,595169.4300000002,3358784.766666667,305683,191955,38571,731,1,20.848749624050857,14.02777751226727,2.45209246082919,13.83816168765802,1.259411088542718,0.7908527968556232,0.1589121576802805,3
14,132,JFK Airport,Queens,234575,1.967179918999998E7,1.544971532E7,3799627.800000001,1.24803884E7,358768,170583,57008,731,1,83.86144810828084,65.86258262815731,16.197923052328683,53.20425620803581,1.5294383459447938,0.727200255781733,0.24302675050623468,4
14,138,LaGuardia Airport,Queens,197613,1.385303957E7,9114441.43,1921821.6899999997,7387801.85,271621,167603,26434,730,1,70.10186359197017,46.12268135193535,9.725178454858737,37.38520163147161,1.3745097741545345,0.8481375213169174,0.13376650321588154,5
14,162,Midtown East,Manhattan,163745,4303019.53,2988566.66,419104.49,2961004.3166666664,210798,131455,27085,731,1,26.278784268221933,18.251346056368135,2.55949488534001,18.083021262735755,1.2873553390943235,0.8028031390271458,0.16540963082842225,6
14,239,Upper West Side South,Manhattan,153188,3334149.2500000005,2255740.35,607490.06,2185726.5666666664,199276,118480,25120,731,1,21.765081142126018,14.725307138940387,3.965650442593415,14.268262309493345,1.3008590751233777,0.7734287280988067,0.16398151291223856,7
14,142,Lincoln Square East,Manhattan,150421,3256388.59,2208617.0700000003,314555.56,2182921.9166666665,191683,117105,25556,731,1,21.648497151328602,14.682903783381311,2.091167855552084,14.512082200401982,1.2743101029776427,0.7785149679898419,0.1698964905166167,8
14,163,Midtown North,Manhattan,148043,3903130.2199999997,2726806.64,495260.60000000003,2672556.7500000005,196083,116290,26071,732,1,26.364841431205797,18.419017717825227,3.3453834358936256,18.052570874678306,1.324500314097931,0.7855150192849375,0.17610423998432886,9
14,170,Murray Hill,Manhattan,141275,3634062.9600000004,2534394.24,356661.37,2501802.9999999995,179844,110179,24238,731,1,25.723326561670504,17.939438966554594,2.524589417802159,17.708745354804456,1.2730065475137144,0.7798902849053265,0.17156609449654928,10
15,237,Upper East Side South,Manhattan,281248,5804027.390000001,3892247.2599999993,524044.55,4035022.7,355823,225149,45439,731,1,20.63668858089658,13.839199780976218,1.8632827611218568,14.346849399817955,1.2651574411195814,0.8005354704744567,0.16156203777449085,1
